Name,Image
IssacNewton,https://upload.wikimedia.org/wikipedia/commons/3/3b/Portrait_of_Sir_Isaac_Newton%2C_1689.jpg
AlbertEinstein,https://upload.wikimedia.org/wikipedia/commons/8/8d/President_Barack_Obama.jpg
Donaldtrump,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Donald_Trump_official_portrait.jpg/1200px-Donald_Trump_official_portrait.jpg
BradPitt,https://www.businessinsider.in/photo/92398383/brad-pitt-thinks-he-has-undiagnosed-face-blindness-and-thats-why-he-seems-aloof-and-self-absorbed.jpg
BradleyCooper,https://tnhrce.org/wp-content/uploads/2022/09/bradley-cooper_tmdb.jpg
GeorgeClooney,https://media.newyorker.com/photos/59093397ebe912338a3719b4/master/w_2560%2Cc_limit/080414_r17095_p646.jpg
CristainBale,https://m.media-amazon.com/images/M/MV5BMTkxMzk4MjQ4MF5BMl5BanBnXkFtZTcwMzExODQxOA@@._V1_.jpg
LeonardoDicaprio,https://www.themoviedb.org/t/p/w500/wo2hJpn04vbtmh0B9utCFdsQhxM.jpg
LewisHamilton,https://a.espncdn.com/combiner/i?img=/i/headshots/rpm/players/full/868.png
SebastianVettel,https://assets.telegraphindia.com/telegraph/30ae6a45-0484-4eb4-9ef4-e72f30255fb5.jpg
CharlesLeclerc,https://a.espncdn.com/combiner/i?img=/i/headshots/rpm/players/full/5498.png&w=350&h=254
CarlosSianz,https://www.formula1points.com/images/driver/carlos-sainz.jpg
ConnorMcGregor,https://a.espncdn.com/i/headshots/mma/players/full/3022677.png
MatthewMacfadyen,https://m.media-amazon.com/images/M/MV5BMjQ1ODY2ODA5MV5BMl5BanBnXkFtZTgwNDA3MzkxNzM@._V1_.jpg
MatthewPerry,https://qph.cf2.quoracdn.net/main-qimg-691625cd2a54b6028464494718bd1cdf-lq
MattLeblanc,https://media-cldnry.s-nbcnews.com/image/upload/newscms/2019_05/1406726/matt-leblanc-friends-today-main-190201.jpg
CourtneyCox,https://i.pinimg.com/550x/39/d2/a9/39d2a94e5772852bd796a52e5ca16e95.jpg
JenniferAniston,https://media.glamour.com/photos/62a7534440a1162b3f6a0d52/master/w_2560%2Cc_limit/1155287717
HughJackman,https://flxt.tmsimg.com/assets/171234_v9_bc.jpg
CrisEvans,https://upload.wikimedia.org/wikipedia/commons/3/33/Mark_Kassen%2C_Tony_C%C3%A1rdenas_and_Chris_Evans_%28cropped%29.jpg
CrisHemsworth,https://cdn.britannica.com/92/215392-050-96A4BC1D/Australian-actor-Chris-Hemsworth-2019.jpg
ViratKohli,https://m.cricbuzz.com/a/img/v1/192x192/i1/c244980/virat-kohli.jpg
MSDhoni,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319900/319946.png"
MitchellStarc,https://m.cricbuzz.com/a/img/v1/192x192/i1/c244806/mitchell-starc.jpg
